Agave subsimplex
Agave titanota
Agave toumeyana
Agave triangularis
Agave univittata
Agave utahensis
Agave victoriae-reginae
Agave virginica
Agave warelliana
Agave xylonacantha
Ageratina altissima
Ageratina occidentalis
Ageratina sp.
Aglaomorpha acuminata
Aglaomorpha coronans
Aglaomorpha drynarioides
Aglaomorpha heraclea
Aglaomorpha hieronymi
Aglaomorpha latipinna
Aglaomorpha meyeniana
Aglaomorpha novoguineensis
Aglaomorpha parkinsonii
Aglaomorpha splendens
Aglaonema brevispathum
Aglaonema commutatum
Aglaonema costatum
Aglaonema crispum
Aglaonema modestum
Aglaonema nebulosum
Aglaonema nitidum
Aglaonema pictum
Aglaonema rotunda
Aglaonema simplex
Aglaonema sp.
Aglaonema treubii
Agonis flexuosa
Agonis hypericifolia
Agrimonia eupatoria
Agrimonia gryposepala
Agrimonia procera
Agrostemma githago
Agrostemma gracile
Agrostis canina
Agrostis stolonifera
Agrostophyllum planicaule
Achillea abrotanoides
Achillea ageratifolia
Achillea ageratum
Achillea arabica
Achillea biserrata
Achillea clavennae
Achillea clypeolata
Achillea coarctata
Achillea collina
Achillea crithmifolia
Achillea decolorans
Achillea filipendulina
Achillea filipendulina-hybr.
Achillea grandifolia
Achillea hybr.
Achillea macrophylla
Achillea millefolium
Achillea millefolium-hybr.
Achillea nobilis
Achillea pannonica
Achillea ptarmica
Achillea ptarmicifolia
Achillea pyrenaica
Achillea salicifolia
Achillea setacea
Achillea sipikorensis
Achillea teretifolia
Achillea tomentosa
Achillea umbellata
Achillea x kellereri
Achimenes admirabilis
Achimenes antirrhina
Achimenes candida
Achimenes dulcis
Achimenes erecta
Achimenes flava
Achimenes grandiflora
Achimenes hybr.
Achimenes longiflora
Achimenes mexicana
Achimenes misera
Achimenes patens
Achimenes pedunculata
Achimenes pyropaea
Achimenes sp.
Achlys japonica
Aichryson tortuosum
Ailanthus altissima
Aiphanes eggersii
Aiphanes minima
Ajuga genevensis
Ajuga hybr.
Ajuga reptans
Ajuga sp.
Akebia quinata
Akebia trifoliata
Akebia x pentaphylla
Albizia adianthifolia
Albizia julibrissin
Albuca pendula
Albuca shawii
Albuca spiralis
Alcea kurdica
Alcea nudiflora
Alcea rosea
Alcea rugosa
Aldrovanda vesiculosa
Aletris pauciflora
Alchemilla alpina
Alchemilla bulgarica
Alchemilla conjuncta
Alchemilla crinita
Alchemilla epipsila
Alchemilla erythropoda
Alchemilla faroensis
Alchemilla glaucescens
Alchemilla hoppeana
Alchemilla mollis
Alchemilla propinqua
Alchemilla sericata
Alchemilla sp.
Alchemilla titthatha
Alchemilla vulgaris
Alchemilla xanthochlora
Alisma gramineum
Alisma lanceolatum
Alisma plantago-aquatica
Alisma subcordatum
Allagopappus dichotomus
Allagoptera caudescens
Allamanda cathartica
Allamanda violacea
Allium aflatunense
Allium altaicum
Allium angulosum
Allium atropurpureum
Allium caeruleum
Allium caesium
Allium canadense
Allium carinatum
Allium cernuum
Allium flavum
Allium giganteum
Allium haematochiton
Allium hybr.
Allium christophii
Allium karataviense
Allium moly
Allium neapolitanum
Allium nutans
Allium oreophilum
Allium platycaule
Allium sarawschanicum
Allium senescens
Allium schoenoprasum
Allium schuberti
Allium sp.
Allium strictum
Allium thunbergii
Allium tricoccum
Allium triquetrum
Allium tuberosum
Allium ursinum
Allium victorialis
Allium woronowii
Allocasuarina verticillata
Allocasuarina zephyrea
Alloschmidia glabrata
Alluaudia ascendens
Alluaudia comosa
Alluaudia dumosa
Alluaudia humbertii
Alluaudia montagnacii
Alluaudia procera
Alluaudiopsis fiherenensis
Alnus hirsuta
Alnus incana
Alnus orientalis
Alnus sieboldiana
Alocasia brancifolia
Alocasia brisbanensis
Alocasia clypeolata
Alocasia cucullata
Alocasia cuprea
Alocasia hybr.
Alocasia hypnosa
Alocasia chaii
Alocasia korthalsii
Alocasia lauterbachiana
Alocasia longiloba
Alocasia macrorrhizos
Alocasia melo
Alocasia micholitziana
Alocasia odora
Alocasia pangeran
Alocasia portei
Alocasia reginae
Alocasia reginula
Alocasia reversa
Alocasia robusta
Alocasia sanderiana
Alocasia sarawakensis
Alocasia scalprum
Alocasia sp.
Alocasia tigrina
Alocasia wentii
Alocasia wongii
Alocasia zebrina
Aloe aculeata
Aloe acutissima
Aloe affinis
Aloe albiflora
Aloe alfredii
Aloe alooides
Aloe ammophila
Aloe anivoranoensis
Aloe ankaranensis
Aloe ankoberensis
Aloe antandroi
Aloe antsingyensis
Aloe arborescens
Aloe argyrostachys
Aloe aristata
Aloe asperifolia
Aloe bakeri
Aloe barberae
Aloe belavenokensis
Aloe bellatula
Aloe bellatula x rauhi
Aloe benenitrensis
Aloe betsileensis
Aloe boiteaui
Aloe bougaivillensis
Aloe boylei
Aloe branddraaiensis
Aloe brevifolia
Aloe broomii
Aloe bruynsii
Aloe buhrii
Aloe buchlohii
Aloe bulbillifera
Aloe burgersfortensis
Aloe bussei
Aloe calcairophila
Aloe camperi
Aloe canarina
Aloe capitata
Aloe capmanambatoensis
Aloe castilloniae
Aloe ciliaris
Aloe cipolinicola
Aloe citrea
Aloe claviflora
Aloe commixta
Aloe comosa
Aloe compressa
Aloe comptonii
Aloe congdonii
Aloe conifera
Aloe contigua
Aloe cooperi
Aloe cremnophila
Aloe cryptopoda
Aloe davyana
Aloe dawei
Aloe debreana
Aloe decaryi
Aloe delicatissima
Aloe deltoideodonta
Aloe descoingsii
Aloe dewetii
Aloe dhufarensis
Aloe dichotoma
Aloe divaricata
Aloe djibutiensis
Aloe droseroides
Aloe dyeri
Aloe ecklonis
Aloe elegans
Aloe elgonica
Aloe ellenbeckii
Aloe eminens
Aloe ericetorum
Aloe erinacea
Aloe erythrophylla
Aloe esculenta
Aloe eximia
Aloe falcata
Aloe ferox
Aloe fievetii
Aloe fleurentinorum
Aloe flexilifolia
Aloe florenceae
Aloe fosteri
Aloe fragilis
Aloe framesii
Aloe gariepensis
Aloe gillettii
Aloe glauca
Aloe globuligemma
Aloe gneissicola
Aloe grandidentata
Aloe greatheadii
Aloe greenii
Aloe guillaumetii
Aloe haemanthifolia
Aloe hahnii
Aloe hardyi
Aloe harlana
Aloe haworthioides
Aloe helenae
Aloe hereroensis
Aloe hildebrandtii
Aloe hoffmannii
Aloe humilis
Aloe hybr.
Aloe chabaudii
Aloe charlotteae
Aloe chortolirioides
Aloe ibitiensis
Aloe imalotensis
Aloe inexpectata
Aloe isaloensis
Aloe johannis
Aloe jucunda
Aloe juvenna
Aloe karasbergensis
Aloe khamiesensis
Aloe krahpoliana
Aloe krapohliana
Aloe kraussii
Aloe laeta
Aloe lateritia
Aloe linearifolia
Aloe lineata
Aloe littoralis
Aloe lomatophylloides
Aloe longibracteata
Aloe longistyla
Aloe lutescens
Aloe macra
Aloe macroclada
Aloe maculata
Aloe mandotoensis
Aloe marlothii
Aloe massawana
Aloe mayottensis
Aloe megalacantha
Aloe melanacantha
Aloe menyharthii
Aloe meyeri
Aloe micracantha
Aloe microstigma
Aloe milotii
Aloe mitriformis
Aloe monotropa
Aloe mudenensis
Aloe mutabilis
Aloe mzimbana
Aloe namibensis
Aloe namorokaensis
Aloe niebuhriana
Aloe nyeriensis
Aloe ortholopha
Aloe pachydactylos
Aloe parallelifolia
Aloe parvibracteata
Aloe parvula
Aloe pavelkae
Aloe peglerae
Aloe perrieri
Aloe perryi
Aloe petricola
Aloe pictifolia
Aloe pirottae
Aloe plicatilis
Aloe pluridens
Aloe polyphylla
Aloe pratensis
Aloe prinslooi
Aloe pronkii
Aloe propagulifera
Aloe prostrata
Aloe pruinosa
Aloe pseudoparvula
Aloe rabaiensis
Aloe ramosissima
Aloe rauhii
Aloe rebmannii
Aloe reitzii
Aloe reynoldsii
Aloe richardsiae
Aloe richaudii
Aloe ruffingiana
Aloe rupestris
Aloe sakarahensis
Aloe saundersiae
Aloe scobinifolia
Aloe secundiflora
Aloe schelpei
Aloe schomeri
Aloe sinkatana
Aloe sladeniana
Aloe somaliensis
Aloe sp.
Aloe squarrosa
Aloe striata
Aloe suarezensis
Aloe succotrina
Aloe suprafoliata
Aloe swynnertonii
Aloe teissieri
Aloe thraskii
Aloe tomentosa
Aloe trichosantha
Aloe tulearensis
Aloe ukambensis
Aloe umfoloziensis
Aloe vacillans
Aloe vanbalenii
Aloe vaombe
Aloe variegata
Aloe versicolor
Aloe viridiflora
Aloe vogtsii
Aloe zebrina
Aloe zombitsensis
Aloinopsis schooneesii
Alonsoa meridionalis
Alopecurus aequalis
Alopecurus pratensis
Aloysia citriodora
Aloysia virgata
Alpinia aquatica
Alpinia blepharocalyx
Alpinia caerulea
Alpinia calcarata
Alpinia galanga
Alpinia intermedia
Alpinia latilabris
Alpinia luteocarpa
Alpinia malaccensis
Alpinia officinarum
Alpinia petiolata
Alpinia purpurata
Alpinia sp.
Alpinia sp. coriandriodora
Alpinia zerumbet
Alsobia baroniae
Alsobia punctata
Alsophila inciso-serrata
Alstonia longifolia
Alstroemeria psittacina
Alternanthera bettzickiana
Althaea armeniaca
Althaea cannabina
Althaea officinalis
Althaea taurinensis
Altingia poilanei
Alyogyne hakeifolia
Alyssum argenteum
Alyssum borzaeanum
Alyssum cuneifolium
Alyssum cypricum
Alyssum graecum
Alyssum chondrogynum
Alyssum masmenaeum
Alyssum montanum
Alyssum murale
Alyssum oxycarpum
Alyssum repens
Alyssum serpyllifolium
Alyssum sinuatum
Alyssum sp.
Alyssum troodi
Alyssum wulfenianum
Alyxia buxifolia
Alyxia gynopogon
Amaranthus hybridus
