taxon_name_original,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Paeonia biebersteiniana,BestMatch,9.41180,Exact,0,Paeonia biebersteiniana,Paeonia biebersteiniana Rupr.,Paeonia biebersteiniana,4BY9R,Paeonia tenuifolia var. biebersteiniana (Rupr.) N.Busch,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia tenuifolia|Paeonia tenuifolia biebersteiniana,
Paeonia broteri,BestMatch,9.41145,Exact,0,Paeonia broteri,Paeonia broteri Boiss. & Reut.,Paeonia broteri,447178,Paeonia broteri Boiss. & Reut.,false,6,GRIN Plant Taxonomy,Saxifragales|Paeoniaceae|Paeonia|Paeonia broteri,
Paeonia cambessedesii,BestMatch,9.41215,Exact,0,Paeonia cambessedesii,Paeonia cambessedesii (Willk.) Willk.,Paeonia cambessedesii,4BY9W,Paeonia cambessedesii (Willk.) Willk.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia cambessedesii,
Paeonia caucasica,BestMatch,9.41215,Exact,0,Paeonia caucasica,Paeonia caucasica (Schipcz.) Schipcz.,Paeonia caucasica,4BY9Z,Paeonia caucasica (Schipcz.) Schipcz.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia caucasica,
Paeonia clusii,BestMatch,9.41215,Exact,0,Paeonia clusii,Paeonia clusii F.C.Stearn,Paeonia clusii,6TKL5,Paeonia clusii F.C.Stearn,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia clusii,
Paeonia daurica,BestMatch,9.41215,Exact,0,Paeonia daurica,Paeonia daurica Andrews,Paeonia daurica,75KKV,Paeonia daurica Andrews,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia daurica,
Paeonia delavayi,BestMatch,9.41215,Exact,0,Paeonia delavayi,Paeonia delavayi Franch.,Paeonia delavayi,6TKL8,Paeonia delavayi Franch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia delavayi,
Paeonia emodii,BestMatch,9.38898,Fuzzy,1,Paeonia emodii,Paeonia emodi Wall. ex Royle,Paeonia emodi,9KKKM,Paeonia emodi Wall. ex Royle,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia emodi,
Paeonia emodii x veitchii,SortedMatch,0.0,NoMatch,,Paeonia emodii x veitchii,,,,,,,,,
Paeonia hybr.,BestMatch,9.41215,Exact,0,Paeonia hybr.,Paeonia L.,Paeonia,6C8P,Paeonia L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia,
